,QE_blue_opt,fibre_throughput_blue_opt,spectrograph_throughput_blue_opt,prime_focus_corrector_blue_opt,M1_blue_opt,obscuration_blue_opt,wavelength_blue,QE_red_opt,fibre_throughput_red_opt,spectrograph_throughput_red_opt,prime_focus_corrector_red_opt,M1_red_opt,obscuration_red_opt,wavelength_red
0,0.66,0.32,0.22,0.72,0.905,0.787,370.0,0.95,0.83,0.01,0.81,0.9079999999999999,0.787,580.0
1,0.92,0.64,0.47,0.8,0.9079999999999999,0.787,400.0,0.95,0.83,0.1,0.81,0.907,0.787,590.0
2,0.92,0.73,0.6,0.8,0.91,0.787,450.0,0.95,0.83,0.43,0.81,0.9059999999999999,0.787,600.0
3,0.93,0.79,0.63,0.8,0.9109999999999999,0.787,500.0,0.95,0.84,0.47,0.81,0.905,0.787,610.0
4,0.92,0.81,0.6,0.8,0.91,0.787,550.0,0.96,0.84,0.56,0.81,0.9009999999999999,0.787,650.0
5,0.92,0.82,0.58,0.81,0.909,0.787,560.0,0.89,0.84,0.63,0.81,0.893,0.787,700.0
6,0.92,0.82,0.56,0.81,0.909,0.787,570.0,0.82,0.85,0.66,0.81,0.88,0.787,750.0
7,0.92,0.83,0.52,0.81,0.9079999999999999,0.787,580.0,0.75,0.86,0.64,0.81,0.862,0.787,800.0
8,0.92,0.83,0.4,0.81,0.907,0.787,590.0,0.67,0.87,0.59,0.81,0.866,0.787,850.0
9,0.92,0.83,0.05,0.81,0.9059999999999999,0.787,600.0,0.6,0.86,0.5,0.82,0.897,0.787,900.0
10,0.92,0.84,0.02,0.81,0.9059999999999999,0.787,605.0,0.34,0.84,0.38,0.82,0.927,0.787,950.0
